Organization Name,Category,Description,GSoC Page,Interested,Notes
OpenCV,,++ beneficial uses of computer vision in society,https://summerofcode.withgoogle.com/programs/2025/organizations/opencv,No,
Open Technologies Alliance - GFOSS,,Promote Open Standards and Open Source,https://summerofcode.withgoogle.com/programs/2025/organizations/open-technologies-alliance-gfoss,No,
OpenVINO Toolkit,,Make AI inference faster and easier to deploy!,https://summerofcode.withgoogle.com/programs/2025/organizations/openvino-toolkit,No,
Oppia Foundation,,"Free platform for interactive, tutor-like lessons",https://summerofcode.withgoogle.com/programs/2025/organizations/oppia-foundation,No,
openSUSE Project,,"Makers' choice for sysadmins, developers & users",https://summerofcode.withgoogle.com/programs/2025/organizations/opensuse-project,No,
OSGeo (Open Source Geospatial Foundation),,The Open Source Geospatial Foundation,https://summerofcode.withgoogle.com/programs/2025/organizations/osgeo-open-source-geospatial-foundation,No,
PAL Robotics,,Enhance people's quality of life through Robotics,https://summerofcode.withgoogle.com/programs/2025/organizations/pal-robotics,No,
OpenMS,,OpenMS GSoC: Advancing Algorithms & AI for Biomedical Insights,https://summerofcode.withgoogle.com/programs/2025/organizations/openms,No,
OWASP Foundation,,No more insecure software.,https://summerofcode.withgoogle.com/programs/2025/organizations/owasp-foundation,No,
Organic Maps,,"Offline maps app for tourists, cyclers & hikers",https://summerofcode.withgoogle.com/programs/2025/organizations/organic-maps,No,
OpenStreetMap,,Create and distribute free geodata for the world,https://summerofcode.withgoogle.com/programs/2025/organizations/openstreetmap,No,
OpenWISP,,The Hackable Network Management System,https://summerofcode.withgoogle.com/programs/2025/organizations/openwisp,No,
Pharo Consortium,,Modern and immersive programming language,https://summerofcode.withgoogle.com/programs/2025/organizations/pharo-consortium,No,
Python Software Foundation,,A programming language used for science & more,https://summerofcode.withgoogle.com/programs/2025/organizations/python-software-foundation,No,
QC-Devs,,Sustainable software for quantum chemistry & more,https://summerofcode.withgoogle.com/programs/2025/organizations/qc-devs,No,
PEcAn Project,,Develop and promote tools for ecosystem modeling,https://summerofcode.withgoogle.com/programs/2025/organizations/pecan-project,No,
PostgreSQL,,The Most Advanced Open Source Relational Database,https://summerofcode.withgoogle.com/programs/2025/organizations/postgresql,No,
Prometheus-Operator,,Managing Prometheus atop Kubernetes,https://summerofcode.withgoogle.com/programs/2025/organizations/prometheus-operator,No,
QEMU,,Open source machine emulator and virtualizer,https://summerofcode.withgoogle.com/programs/2025/organizations/qemu,No,
